Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2019-03-17 23:57:47;2019-03-18 07:15:06;75%;7:17;;;0;0
2019-03-18 23:07:35;2019-03-19 06:57:19;90%;7:49;;;0;0
2019-03-19 23:52:04;2019-03-20 07:10:13;71%;7:18;;;0;0
2019-03-21 04:19:20;2019-03-21 07:00:38;25%;2:41;;;0;0
2019-03-21 23:33:45;2019-03-22 07:06:52;69%;7:33;;;0;0
2019-03-24 00:38:23;2019-03-24 07:52:02;71%;7:13;;;0;0
2019-03-24 23:40:49;2019-03-25 07:02:32;77%;7:21;;;0;0
2019-03-25 23:55:10;2019-03-26 06:59:28;65%;7:04;;;0;0
2019-03-27 00:31:41;2019-03-27 07:22:40;57%;6:50;;;0;0
2019-03-27 23:19:09;2019-03-28 07:14:35;91%;7:55;;;0;0
2019-03-29 00:36:07;2019-03-29 07:03:09;71%;6:27;;;0;0
2019-03-31 00:32:58;2019-03-31 07:43:15;64%;7:10;;;0;0
2019-04-01 00:46:11;2019-04-01 07:06:14;73%;6:20;;;0;0
2019-04-01 22:55:09;2019-04-02 07:00:40;74%;8:05;;;0;0
2019-04-03 23:57:14;2019-04-04 07:05:00;73%;7:07;;;0;0
2019-04-05 00:47:31;2019-04-05 07:00:14;68%;6:12;;;0;0
