Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2019-02-24 22:44:29;2019-02-25 04:47:52;62%;6:03;;;0;0
2019-03-04 21:51:18;2019-03-05 05:12:33;67%;7:21;;;0;0
2019-03-05 22:16:04;2019-03-06 06:37:16;74%;8:21;;;0;0
2019-03-06 22:43:15;2019-03-07 06:37:21;69%;7:54;;;0;0
2019-03-08 00:02:59;2019-03-08 06:15:59;53%;6:13;;;0;0
2019-03-08 21:53:16;2019-03-09 06:22:28;70%;8:29;;;0;0
2019-03-09 23:33:13;2019-03-10 06:37:31;52%;6:04;;;0;0
2019-03-10 22:19:57;2019-03-11 05:22:07;71%;7:02;;;0;0
2019-03-11 22:16:16;2019-03-12 05:25:09;79%;7:08;;;0;0
2019-03-12 22:00:25;2019-03-13 04:34:20;80%;6:33;;;0;0
2019-03-13 22:25:24;2019-03-14 05:22:27;69%;6:57;;;0;0
2019-03-14 23:20:02;2019-03-15 06:00:43;53%;6:40;;;0;0
2019-03-16 01:02:19;2019-03-16 07:12:26;57%;6:10;;;0;0
2019-03-17 00:59:37;2019-03-17 06:57:54;55%;5:58;;;0;0
2019-03-17 23:37:37;2019-03-18 06:07:23;75%;6:29;;;0;0
2019-03-19 23:26:57;2019-03-20 05:34:21;59%;6:07;;;0;0
2019-03-21 01:50:15;2019-03-21 07:25:07;59%;5:34;;;0;0
2019-03-21 23:13:06;2019-03-22 05:45:56;71%;6:32;;;0;0
2019-03-23 00:37:06;2019-03-23 06:09:25;59%;5:32;;;0;0
2019-03-24 01:45:01;2019-03-24 08:06:20;65%;6:21;;;0;0
2019-03-24 22:32:59;2019-03-25 04:04:30;63%;5:31;;;0;0
2019-03-25 22:35:01;2019-03-26 05:23:38;72%;6:48;;;0;0
2019-03-26 22:19:39;2019-03-27 05:28:29;72%;7:08;;;0;0
2019-03-27 23:07:18;2019-03-28 05:52:25;72%;6:45;;;0;0
2019-03-28 21:48:30;2019-03-29 04:15:37;78%;6:27;;;0;0
2019-03-30 01:27:03;2019-03-30 07:48:04;68%;6:21;;;0;0
2019-03-30 22:46:24;2019-03-31 06:10:32;82%;7:24;;;0;0
2019-03-31 22:03:39;2019-04-01 04:27:15;68%;6:23;;;0;0
2019-04-01 23:02:40;2019-04-02 05:11:17;52%;6:08;;;0;0
2019-04-03 01:16:47;2019-04-03 05:32:17;49%;4:15;;;0;0
2019-04-03 23:15:51;2019-04-04 05:34:16;66%;6:18;;;0;0
2019-04-04 23:38:40;2019-04-05 05:09:34;59%;5:30;;;0;0
2019-04-06 00:15:10;2019-04-06 06:35:37;62%;6:20;;;0;0
