Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2019-03-17 23:24:15;2019-03-18 06:51:42;77%;7:27;;;0;0
2019-03-18 23:35:13;2019-03-19 06:39:22;81%;7:04;;;0;0
2019-03-19 22:57:20;2019-03-20 06:22:26;81%;7:25;;;0;0
2019-03-20 23:10:24;2019-03-21 06:27:11;75%;7:16;;;0;0
2019-03-21 23:11:13;2019-03-22 06:34:13;82%;7:23;;;0;0
2019-03-22 23:38:02;2019-03-23 07:36:52;73%;7:58;;;0;0
2019-03-23 23:07:33;2019-03-24 07:20:20;91%;8:12;;;0;0
2019-03-24 23:09:36;2019-03-25 06:22:12;73%;7:12;;;0;0
2019-03-25 22:56:53;2019-03-26 02:38:02;29%;3:41;;;0;0
2019-03-26 23:07:18;2019-03-27 06:50:22;87%;7:43;;;0;0
2019-03-27 23:21:39;2019-03-28 06:37:51;78%;7:16;;;0;0
2019-03-28 23:24:57;2019-03-29 06:54:22;81%;7:29;;;0;0
2019-03-30 22:10:18;2019-03-31 06:44:05;78%;8:33;;;0;0
2019-03-31 23:26:51;2019-04-01 07:00:43;84%;7:33;;;0;0
2019-04-01 21:29:16;2019-04-02 05:13:07;83%;7:43;;;0;0
2019-04-02 21:26:48;2019-04-03 07:05:52;84%;9:39;;;0;0
