Start,End,Sleep quality,Time in bed,Wake up,Sleep Notes,Heart rate,Activity (steps)
,,,,,,,
2019-03-16 23:21:51,2019-03-17 07:28:04,72%,8:06,,,0,0
,,,,,,,
2019-03-17 23:08:29,2019-03-18 06:30:13,85%,7:21,,,0,0
,,,,,,,
2019-03-18 23:23:27,2019-03-19 06:44:42,65%,7:21,,,0,0
,,,,,,,
2019-03-19 23:39:41,2019-03-20 07:20:51,88%,7:41,,,0,0
,,,,,,,
2019-03-20 23:22:48,2019-03-21 06:42:54,67%,7:20,,,0,0
,,,,,,,
2019-03-21 22:28:56,2019-03-22 06:29:09,86%,8:00,,,0,0
,,,,,,,
2019-03-23 00:16:55,2019-03-23 08:04:59,66%,7:48,,,0,0
,,,,,,,
2019-03-24 00:27:29,2019-03-24 08:17:05,77%,7:49,,,0,0
,,,,,,,
2019-03-24 23:58:19,2019-03-25 07:25:20,68%,7:27,,,0,0
,,,,,,,
2019-03-25 22:45:09,2019-03-26 07:05:54,86%,8:20,,,0,0
,,,,,,,
2019-03-26 23:18:18,2019-03-27 06:27:37,58%,7:09,,,0,0
,,,,,,,
2019-03-27 23:15:55,2019-03-28 06:04:59,60%,6:49,,,0,0
,,,,,,,
2019-03-28 23:20:22,2019-03-29 06:27:47,72%,7:07,,,0,0
,,,,,,,
2019-03-30 00:44:57,2019-03-30 08:09:45,72%,7:24,,,0,0
,,,,,,,
2019-03-31 01:49:00,2019-03-31 09:15:10,49%,7:26,,,0,0
,,,,,,,
2019-03-31 23:10:21,2019-04-01 07:21:23,62%,8:11,,,0,0
,,,,,,,
2019-04-01 23:55:34,2019-04-02 07:29:57,76%,7:34,,,0,0
,,,,,,,
2019-04-03 00:05:48,2019-04-03 07:04:25,74%,6:58,,,0,0
,,,,,,,
2019-04-04 00:30:53,2019-04-04 07:03:10,69%,6:32,,,0,0
,,,,,,,
2019-04-04 23:22:42,2019-04-05 07:24:19,82%,8:01,,,0,0
,,,,,,,
2019-04-06 01:03:22,2019-04-06 08:29:01,70%,7:25,,,0,0
,,,,,,,
