Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2019-03-13 01:37:57;2019-03-13 07:08:52;57%;5:30;;;0;0
2019-03-24 00:18:35;2019-03-24 07:36:48;66%;7:18;;;0;0
2019-03-25 01:50:14;2019-03-25 07:15:17;65%;5:25;;;0;0
2019-03-26 00:56:03;2019-03-26 07:15:10;58%;6:19;;;0;0
2019-03-27 03:01:12;2019-03-27 07:35:22;46%;4:34;;;0;0
2019-03-28 00:05:53;2019-03-28 07:15:18;65%;7:09;;;0;0
2019-03-28 23:47:04;2019-03-29 07:05:15;81%;7:18;;;0;0
2019-03-31 00:59:00;2019-03-31 07:15:40;61%;6:16;;;0;0
2019-04-01 00:52:29;2019-04-01 07:00:09;68%;6:07;;;0;0
2019-04-03 00:14:03;2019-04-03 07:03:25;77%;6:49;;;0;0
2019-04-04 02:00:02;2019-04-04 06:45:11;43%;4:45;;;0;0
2019-04-05 03:08:56;2019-04-05 07:09:30;52%;4:00;;;0;0
2019-04-06 03:30:56;2019-04-06 07:13:45;40%;3:42;;;0;0
